id,cnn_score,energy
198926.000,0.515,1139.007
779375.000,0.015,1213.998
978536.000,0.684,1383.288
920763.000,0.250,2394.558
92876.000,0.505,1186.594
834930.000,0.008,1773.571
877111.000,0.075,2370.574
986265.000,0.046,2615.176
373140.000,0.063,2615.955
927178.000,0.437,2151.349
843034.000,0.018,1192.918
104377.000,0.000,1296.201
395702.000,0.063,2610.983
187619.000,0.045,1892.670
219750.000,0.006,2611.602
10388.000,0.000,1918.542
405493.000,0.022,1629.773
259346.000,0.009,2613.241
574755.000,0.053,1054.928
581836.000,0.037,2614.780
473124.000,0.061,1708.725
960943.000,0.000,2288.760
919029.000,0.145,1282.254
279473.000,0.024,2617.201
940401.000,0.002,2405.315
656151.000,0.093,2615.000
826255.000,0.050,2614.795
72307.000,0.115,1836.372
95383.000,0.149,2347.474
234463.000,0.050,1877.646
470777.000,0.020,2616.090
693954.000,0.030,1278.041
370969.000,0.770,2062.490
346560.000,0.000,1925.110
564990.000,0.846,1251.630
962421.000,0.056,2616.158
36916.000,0.351,2032.529
1015255.000,0.014,2614.481
910386.000,0.014,1220.021
461437.000,0.209,2150.281
793767.000,0.061,2613.590
977437.000,0.224,2288.441
849097.000,0.160,2615.202
452192.000,0.449,2208.200
415188.000,0.081,2224.446
921462.000,0.667,1351.990
588563.000,0.008,1050.993
196292.000,0.063,2445.491
186347.000,0.164,2614.790
578239.000,0.039,1377.560
196663.000,0.088,1902.658
469335.000,0.075,2102.944
367333.000,0.100,2614.889
693695.000,0.042,2304.319
647612.000,0.033,1622.084
359980.000,0.479,1010.645
149232.000,0.004,2165.476
520140.000,0.083,2038.370
181037.000,0.081,2614.122
372745.000,0.079,2422.379
364620.000,0.091,1206.741
681400.000,0.028,1709.401
706032.000,0.005,2010.910
917780.000,0.117,2614.755
73290.000,0.035,2239.371
713587.000,0.682,1953.480
288189.000,0.034,2615.662
850370.000,0.046,1492.333
996890.000,0.001,2101.962
528055.000,0.088,2488.764
328614.000,0.199,1038.159
741770.000,0.001,1783.217
934138.000,0.798,2376.198
904670.000,0.155,2615.760
73909.000,0.127,2028.389
364058.000,0.004,2614.503
373559.000,0.076,2613.688
90961.000,0.000,2612.909
577948.000,0.778,1041.809
705399.000,0.072,1215.685
513847.000,0.071,2312.652
374411.000,0.025,1930.263
724340.000,0.504,2249.360
806055.000,0.070,2615.321
163926.000,0.096,2614.334
1027360.000,0.133,2615.517
645259.000,0.075,2614.685
209946.000,0.039,2614.965
710278.000,0.003,1746.870
56360.000,0.028,2047.876
424888.000,0.001,2611.902
797393.000,0.020,2611.582
635884.000,0.575,2118.572
