id,cnn_score,energy
452873.000,0.693,1379.819
236770.000,0.525,1666.640
630882.000,0.326,1114.982
431282.000,0.029,1314.568
307141.000,0.292,2251.497
509419.000,0.169,2325.335
444301.000,0.000,1409.837
343384.000,0.042,2092.963
677385.000,0.160,2029.529
113886.000,0.334,1303.706
895074.000,0.146,2346.020
305312.000,0.025,2613.842
962456.000,0.068,2350.622
818538.000,0.781,2226.576
462143.000,0.027,2738.495
630719.000,0.060,1104.989
45838.000,0.040,1317.157
9816.000,0.107,1383.759
163569.000,0.282,2484.321
72195.000,0.001,1520.782
857695.000,0.002,1084.133
908384.000,0.673,1394.133
571450.000,0.000,1596.735
703332.000,0.000,1620.592
233292.000,0.000,2616.690
858909.000,0.128,1197.572
272180.000,0.677,1229.172
963897.000,0.032,2194.865
471852.000,0.601,2615.013
860215.000,0.327,1026.816
856383.000,0.407,1983.187
366885.000,0.003,1001.945
790083.000,0.609,1949.007
921327.000,0.494,1609.240
869777.000,0.009,2402.317
889687.000,0.000,2180.285
178068.000,0.471,1197.594
828492.000,0.053,2614.522
943421.000,0.266,1206.739
802737.000,0.119,1785.644
680706.000,0.113,1028.596
233470.000,0.867,1256.753
592712.000,0.014,1253.656
660466.000,0.028,1052.232
858750.000,0.105,2277.448
425367.000,0.292,1993.088
828327.000,0.036,2137.117
868632.000,0.764,1594.137
472863.000,0.643,1672.303
205548.000,0.001,2611.192
552773.000,0.335,1468.820
48210.000,0.360,1612.759
190745.000,0.411,1200.641
425444.000,0.082,2232.406
2091.000,0.336,1238.471
906461.000,0.146,1953.338
572006.000,0.181,2613.393
729187.000,0.135,2120.163
930140.000,0.469,1242.094
174181.000,0.307,2045.802
966366.000,0.027,1003.892
948481.000,0.180,2616.030
440663.000,0.171,2614.198
971223.000,0.069,1740.723
964287.000,0.007,2104.006
1008938.000,0.780,1315.281
36224.000,0.539,1989.181
127184.000,0.076,2324.949
458565.000,0.000,1032.496
732829.000,0.354,1924.306
228187.000,0.051,2467.273
821437.000,0.002,2613.806
30362.000,0.033,1384.881
628844.000,0.898,1867.183
456838.000,0.491,2325.010
684251.000,0.000,1823.365
207213.000,0.019,2438.437
674473.000,0.199,1077.334
339432.000,0.118,2615.477
528004.000,0.015,1130.891
99572.000,0.728,1490.658
656162.000,0.001,1409.457
168012.000,0.539,1405.071
924284.000,0.000,1093.368
45982.000,0.169,1133.213
653783.000,0.735,1186.221
31547.000,0.118,1243.286
579174.000,0.208,2243.922
532351.000,0.000,2518.528
105125.000,0.124,1640.338
474349.000,0.843,2253.657
724981.000,0.627,1321.582
379684.000,0.001,1678.263
826580.000,0.511,1518.410
271877.000,0.687,2436.061
327800.000,0.076,2014.358
632514.000,0.062,1180.262
947772.000,0.004,2051.303
966528.000,0.045,2366.492
792540.000,0.887,2096.803
964141.000,0.039,2614.427
927982.000,0.042,2513.609
756709.000,0.342,2372.296
201830.000,0.256,2143.851
